
2024/05/24 (14:46:14) | ===> btop++ v.1.3.2
2024/05/24 (14:46:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/24 (14:46:14) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/24 (14:46:14) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/24 (14:46:14) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/24 (14:46:14) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/24 (14:46:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/24 (14:46:14) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/24 (14:46:14) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/24 (14:46:16) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/05/25 (01:25:54) | ===> btop++ v.1.3.2
2024/05/25 (01:25:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/25 (01:25:54) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/25 (01:25:54) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/25 (01:25:54) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/25 (01:25:54) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/25 (01:25:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/25 (01:25:54) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/25 (01:25:54) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/25 (01:25:56) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/05/25 (01:26:02) | ===> btop++ v.1.3.2
2024/05/25 (01:26:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/25 (01:26:02) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/25 (01:26:02) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/25 (01:26:02) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/25 (01:26:02) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/25 (01:26:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/25 (01:26:02) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/25 (01:26:02) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/25 (01:26:05) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/05/25 (01:26:18) | ===> btop++ v.1.3.2
2024/05/25 (01:26:18) | DEBUG: Running in DEBUG mode!
2024/05/25 (01:26:18) | INFO: Logger set to DEBUG
2024/05/25 (01:26:18) | DEBUG: Using locale en_US.UTF-8
2024/05/25 (01:26:18) | INFO: Running on /dev/pts/3
2024/05/25 (01:26:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/25 (01:26:18) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/25 (01:26:18) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/25 (01:26:18) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/25 (01:26:18) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/25 (01:26:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/25 (01:26:18) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/25 (01:26:18) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/25 (01:26:18) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/25 (01:26:18) | DEBUG: Shared::init() : Initialized.
2024/05/25 (01:26:20) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at
2024/05/25 (01:26:20) | INFO: Quitting! Runtime: 00:00:02

2024/05/25 (01:26:25) | ===> btop++ v.1.3.2
2024/05/25 (01:26:25) | DEBUG: Running in DEBUG mode!
2024/05/25 (01:26:25) | INFO: Logger set to DEBUG
2024/05/25 (01:26:25) | DEBUG: Using locale en_US.UTF-8
2024/05/25 (01:26:25) | INFO: Running on /dev/pts/3
2024/05/25 (01:26:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/25 (01:26:25) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/25 (01:26:25) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/25 (01:26:25) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/25 (01:26:25) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/25 (01:26:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/25 (01:26:25) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/25 (01:26:25) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/25 (01:26:25) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/25 (01:26:25) | DEBUG: Shared::init() : Initialized.
2024/05/25 (01:26:27) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at
2024/05/25 (01:26:27) | INFO: Quitting! Runtime: 00:00:02

2024/05/25 (01:27:17) | ===> btop++ v.1.3.2
2024/05/25 (01:27:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/25 (01:27:17) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/25 (01:27:17) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/25 (01:27:17) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/25 (01:27:17) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/25 (01:27:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/25 (01:27:17) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/25 (01:27:17) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/25 (01:27:20) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/05/25 (01:27:26) | ===> btop++ v.1.3.2
2024/05/25 (01:27:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/25 (01:27:26) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/25 (01:27:26) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/25 (01:27:26) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/25 (01:27:26) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/25 (01:27:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/25 (01:27:26) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/25 (01:27:26) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/25 (01:27:28) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/05/26 (21:54:18) | ===> btop++ v.1.3.2
2024/05/26 (21:54:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/26 (21:54:18) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/26 (21:54:18) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/26 (21:54:18) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/26 (21:54:18) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/26 (21:54:18) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/26 (21:54:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/26 (21:54:18) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported

2024/05/27 (22:05:45) | ===> btop++ v.1.3.2
2024/05/27 (22:05:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/27 (22:05:45) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/27 (22:05:45) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/27 (22:05:45) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/27 (22:05:45) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/27 (22:05:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/27 (22:05:45) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/27 (22:05:45) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/27 (22:05:48) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/05/27 (22:05:48) | ===> btop++ v.1.3.2
2024/05/27 (22:05:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/27 (22:05:48) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/27 (22:05:48) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/27 (22:05:48) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/27 (22:05:48) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/27 (22:05:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/27 (22:05:48) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/27 (22:05:48) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/27 (22:05:50) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/05/27 (22:06:10) | ===> btop++ v.1.3.2
2024/05/27 (22:06:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/27 (22:06:10) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/05/27 (22:06:10) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/05/27 (22:06:10) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/05/27 (22:06:10) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/05/27 (22:06:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/27 (22:06:10) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/05/27 (22:06:10) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/05/27 (22:06:12) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at
